msno,city,bd,gender,registered_via,registration_init_time,Column1,Is_Churn,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,Column2,membership_expire_date,Column3,Time on board,is_cancel,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,Loyalty
euKKybzFu2uPmKgQgwYBaYo7L07nWi1idfbqHDp9fkc=,5,37,female,3,20120501,5/1/2012,0,37,30,149,149,1,20170317,3/17/2017,20170418,4/18/2017,1813,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
AZSmADaa88Re3H8jqsoLiDZDnjPedFob0Qcsgc+C8dk=,5,37,female,3,20140708,7/8/2014,0,40,30,149,149,1,20170314,3/14/2017,20170416,4/16/2017,1013,0,4,0,2,0,58,47,15508.775,5
QpHzxkE+PR3dq7REb6IZEKwHOb6NHrnEqG6npc943Ag=,5,37,female,3,20150607,6/7/2015,0,36,30,180,180,1,20170323,3/23/2017,20170422,4/22/2017,685,0,0,0,1,0,0,1,238.353,5
xgG62EQUX2iov/oQvBlwVI/7E0OS1kErv+pEcfGZlpQ=,5,37,female,3,20150818,8/18/2015,0,39,30,149,149,1,20170331,3/31/2017,20170515,5/15/2017,636,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
1rNZKp6fQc0APG7xlnjuldYOUdjIge0uOsXSL7Kk1BE=,5,37,female,3,20130514,5/14/2013,1,36,30,180,180,1,20170322,3/22/2017,20170322,3/22/2017,1408,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
lwcfsmBUlLoUUdYqxtK48r4R2MElpAIrLoS75nWDw30=,5,37,female,3,20160224,2/24/2016,0,37,30,149,149,1,20170324,3/24/2017,20170426,4/26/2017,427,0,2,1,1,1,210,27,46757.232,5
0qmF8Fc7ipr7Ju5mYY6fSSQ2OJnq4aLdf2v8ZVyVojw=,5,37,female,3,20140215,2/15/2014,0,40,30,149,149,1,20170304,3/4/2017,20170403,4/3/2017,1143,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
5+nSe/uAQSpECFLJOdPsapOJZ342FCAlIuo+QHi/l/I=,5,37,female,3,20150802,8/2/2015,0,36,30,180,180,0,20170325,3/25/2017,20170430,4/30/2017,637,0,8,0,0,0,45,44,10632.235,4
eOCpoiJDea3hLXlrT5VVEjwAot5qOrYVsp9SLp/pnQs=,5,37,female,3,20141120,11/20/2014,0,40,30,149,149,1,20170305,3/5/2017,20170404,4/4/2017,866,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
i4lqfSb1vexlE2IXNmc3VuSiEkkXxdcf/JEqh8JPoGw=,5,37,female,3,20150603,6/3/2015,0,40,30,149,149,1,20170304,3/4/2017,20170414,4/14/2017,681,0,4,1,1,2,23,23,6361.555,5
xq7BIAzVlgMQmxIUNVp5zTETG6s7gaXubho1ZRycj20=,5,37,female,3,20121219,12/19/2012,0,40,30,149,149,1,20170327,3/27/2017,20170426,4/26/2017,1589,0,2,0,0,1,8,11,2104.343,5
VibOqnCWkpieQXhr+726x6j+2KM6vTHz032QP71WZFk=,5,37,female,3,20111217,12/17/2011,0,36,30,180,180,1,20170317,3/17/2017,20170418,4/18/2017,1949,0,1,0,0,0,22,18,5434.93,5
F6rVehXItaEc4Hhqwgic4lZ5DbrBd+ZNkCi5Az+3b+g=,5,37,female,3,20150621,6/21/2015,0,40,30,149,149,1,20170316,3/16/2017,20170415,4/15/2017,664,0,25,0,0,1,27,53,7413.365,5
pY6zrDMOcnGrziIgRjZHpcW8fPHIOZW4HM9kDAXK+uM=,5,37,female,3,20161017,10/17/2016,0,36,30,180,180,0,20170322,3/22/2017,20170421,4/21/2017,186,0,6,1,0,0,16,15,4139.865,4
4zWO/AKZVjwYCM/B+gRT/AzxHShvlXVa1jTkxB+7j6Q=,5,37,female,3,20121028,10/28/2012,0,36,30,180,180,1,20170306,3/6/2017,20170406,4/6/2017,1621,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
5XUudVq8KLeYlvAOhmv2fOksEtDPxSbOg9FLiE8vjUI=,5,37,female,3,20130116,1/16/2013,0,36,30,180,180,0,20170327,3/27/2017,20170526,5/26/2017,1591,0,0,0,1,0,11,7,2235.24,4
RtoPEcJ2tMWLIigL+qHaJSBIllTp2nWicXRgBt9/+cU=,5,37,female,3,20130225,2/25/2013,0,37,30,149,149,1,20170325,3/25/2017,20170501,5/1/2017,1526,0,1,0,1,1,17,7,4670.341,5
VXlS6j/FHnN/+3DIReFQCwf5j72zz1Codz+lkJCUX4c=,5,37,female,3,20160113,1/13/2016,0,39,30,149,149,1,20170331,3/31/2017,20170519,5/19/2017,492,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
1j2shkRqZgbJN6irvDLr+4KwJjYz/b00iHlVxvw+nz8=,5,37,female,3,20121012,10/12/2012,0,37,30,149,149,1,20170328,3/28/2017,20170427,4/27/2017,1658,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
uG2W5e7+9xwLqLKVa9Cfi5zuU8FszLt7eZkCBy7rCCQ=,5,37,female,3,20130604,6/4/2013,1,32,180,536,536,0,20170326,3/26/2017,20170922,9/22/2017,1571,0,15,1,0,1,25,37,6313.662,0
LLyL0wmBHna3hri17/GyiFshKJWdV9/9li2ZpyvSers=,5,37,female,3,20130101,1/1/2013,0,40,30,149,149,1,20170301,3/1/2017,20170407,4/7/2017,1557,0,3,0,0,0,44,29,9651.402,5
jku9+OXh06/WIASOD9ZD8lArslUDlHC7eOn4eosE3PU=,5,37,female,3,20150603,6/3/2015,0,36,30,180,180,1,20170321,3/21/2017,20170420,4/20/2017,687,0,0,0,0,0,25,25,4069.422,5
cqTsMLDOrQfEThlkh1gBzvGaVBlQw6LVUGZfob8wTX4=,5,37,female,3,20120917,9/17/2012,0,36,30,180,180,1,20170306,3/6/2017,20170405,4/5/2017,1661,0,0,0,0,0,49,20,13220.339,5
FpHMl3uWtsMXgH7Pio9XU5UGD7FnRRs7mevNbCtkSP0=,5,37,female,3,20120403,4/3/2012,1,40,30,149,149,1,20161221,12/21/2016,20170420,4/20/2017,1843,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
iemT2YQMK2f/na39r5cszGeIne8a+E2sdPwEOyKmGYA=,5,37,female,3,20120204,2/4/2012,1,20,100,480,480,0,20170322,3/22/2017,20170707,7/7/2017,1980,0,0,1,0,0,5,6,1512.558,0
xOGkzkALnbYXoKqyCVoT2VNhNDNiTzpPbcXUs46oDWo=,5,37,female,3,20120116,1/16/2012,0,37,30,149,149,1,20170303,3/3/2017,20170403,4/3/2017,1904,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
KGoovqvEx85zu0JcvGR0mkRy3BqT6qWMiou+R5t1mDA=,5,37,female,3,20140822,8/22/2014,1,36,30,180,180,1,20170329,3/29/2017,20170503,5/3/2017,985,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
kbg1jVSDgMgrPLTllL5NjejeP/0+HkDB6oQoRdaJFV8=,5,37,female,3,20130404,4/4/2013,0,39,30,149,149,1,20170228,2/28/2017,20170402,4/2/2017,1459,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
4/f/rbi0mCU7AFyWmInj7Q6s1PNNsHQcMd3xNdGQHMQ=,5,37,female,3,20140329,3/29/2014,0,29,30,180,180,1,20170325,3/25/2017,20170425,4/25/2017,1123,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
RBsQ4MXXQNxv8LmctAavStZ2jA/Z7HrkfG5DVLd2MKQ=,5,37,female,3,20150810,8/10/2015,0,40,30,149,149,1,20170306,3/6/2017,20170304,3/4/2017,572,1,0,0,0,0,22,21,5883.001,5
26ryF0iyOTlWrORWH5OytdETF1wffulOjKa6x0AIG+A=,5,37,female,3,20161006,10/6/2016,0,36,30,180,180,1,20170311,3/11/2017,20170410,4/10/2017,186,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
3THyIxfxnocASdeMBL1bAZtIHBX9OvbVDBA5tNsYjUU=,5,37,female,3,20150708,7/8/2015,0,38,30,149,149,0,20170316,3/16/2017,20170415,4/15/2017,647,0,0,1,1,0,122,61,30291.92,4
bWSWVVp28lpfdTaX2X6Xhn9tr+LSw9oo1Tv+LHoM/Ac=,5,37,female,3,20150820,8/20/2015,0,40,30,149,149,1,20170317,3/17/2017,20170416,4/16/2017,605,0,6,0,0,0,168,146,42796.221,5
0EHXmXHgVcUsrBISpN7wmfvMQ/o4DuarCEp19oSklQ8=,5,37,female,3,20150223,2/23/2015,0,36,30,180,180,0,20170319,3/19/2017,20170420,4/20/2017,787,0,20,3,1,1,15,26,4188.067,4
DkdAIZkVRpJW6LZoWJPtZqiKWMK17K/xFcT3J+ZqVYU=,5,37,female,3,20160128,1/28/2016,0,36,30,180,180,0,20170331,3/31/2017,20170430,4/30/2017,458,0,10,4,3,1,70,82,18156.186,4
qcgy5u9f8czOyRVPZZEoOUOftAHTZJ8+t4VlWhE1j7w=,5,37,female,3,20150214,2/14/2015,0,39,30,149,149,1,20170228,2/28/2017,20170407,4/7/2017,783,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
TcmT5fbLjwGM8oQot1PMVSSe3T6ZBEPD9Kwphxuy7vA=,5,37,female,3,20111223,12/23/2011,0,37,30,149,149,1,20170319,3/19/2017,20170419,4/19/2017,1944,0,0,1,0,0,60,21,13823.889,5
MztFmbMmEAyQFLkDWmCvUGQxgjQ6GLVOPSc9h3osxE0=,5,37,female,3,20131114,11/14/2013,0,36,30,180,180,1,20170331,3/31/2017,20170507,5/7/2017,1270,0,7,1,0,0,6,13,1931.707,5
t5yjI6eLMI8KkOcHMf/DRZ1La74zBRHgAFlMdwxTV5c=,5,37,female,3,20140830,8/30/2014,0,36,30,180,180,1,20170313,3/13/2017,20170412,4/12/2017,956,0,5,0,1,0,2,7,771.184,5
XLyel28WTpY8vKbTpzI5cO6FKIt7j9UFrrm9jOw4NHk=,5,37,female,3,20150101,1/1/2015,0,38,30,149,149,0,20170307,3/7/2017,20170406,4/6/2017,826,0,0,0,0,0,14,14,3209.216,4
ar+5/wxd0W8a0Rs/oDPpkwWtVCgpGZjJbbk2/eKEmSA=,5,37,female,3,20120501,5/1/2012,0,36,30,180,180,0,20170323,3/23/2017,20170422,4/22/2017,1817,0,2,0,1,0,61,51,17196.746,4
wjJPcm/adJ8Bkh1lc+DMafR974wiS/JCmbEytIpl7NI=,5,37,female,3,20130120,1/20/2013,0,40,30,149,149,1,20170316,3/16/2017,20170415,4/15/2017,1546,0,2,0,0,1,88,20,17702.71,5
2mlkI7wptsqy9iGRk8M+MO5FEn9H3P5EdFaX7yZXjxY=,5,37,female,3,20150625,6/25/2015,0,29,30,180,180,1,20170320,3/20/2017,20170420,4/20/2017,665,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
WN3kdxAkrWPziYEiTvRvx4bE5zZctP/NKwuZgTsvqZc=,5,37,female,3,20151009,10/9/2015,0,29,30,180,0,1,20170303,3/3/2017,20170305,3/5/2017,513,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3
nsEugNo+B57/DQVkRl9WgZI3HDXE6J5fB6LabUUP4dY=,5,37,female,3,20150708,7/8/2015,1,32,410,1788,1788,0,20170224,2/24/2017,20180419,4/19/2018,1016,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
qT2R67cdjhlQEH9aszGDF5Nxvl9Z/PS5x04RwUFr2eY=,5,37,female,3,20150205,2/5/2015,0,39,30,149,149,1,20170228,2/28/2017,20170404,4/4/2017,789,0,11,2,1,1,5,17,1796.912,5
5+du5KNntYWlK1PkDG0f8wZtO775du0KD3vCUgqoVu4=,5,37,female,3,20130211,2/11/2013,0,36,30,180,180,1,20170301,3/1/2017,20170402,4/2/2017,1511,0,1,0,0,0,17,5,4454.157,5
D11rF02biS+PkOH1IzmggOXntvcMt4PWTfETi6H9rlg=,5,37,female,3,20161009,10/9/2016,0,36,30,180,180,1,20170310,3/10/2017,20170411,4/11/2017,184,0,1,0,0,0,17,12,4190.404,5
